link,title,author,journal,journal_issue,year,citation
https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CHvd3SUAAAAJ&citation_for_view=CHvd3SUAAAAJ:MXK_kJrjxJIC,Intracellular synthesis of gold nanoparticles with antioxidant activity by probiotic Lactobacillus kimchicus DCY51T isolated from Korean kimchi,"DCY Josua Markus, Ramya Mathiyalagan, Yeon-Ju Kim, Ragavendran Abbai ...",Enzyme and Microbial Technology,,2016,231
https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CHvd3SUAAAAJ&citation_for_view=CHvd3SUAAAAJ:u-x6o8ySG0sC,Extracellular synthesis of silver and gold nanoparticles by Sporosarcina koreensis DC4 and their biological applications,"P Singh, H Singh, YJ Kim, R Mathiyalagan, C Wang, DC Yang",Enzyme and microbial technology,,2016,214
https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CHvd3SUAAAAJ&citation_for_view=CHvd3SUAAAAJ:Y0pCki6q_DkC,"Biogenic silver and gold nanoparticles synthesized using red ginseng root extract, and their applications","P Singh, YJ Kim, C Wang, R Mathiyalagan, M El-Agamy Farh, DC Yang","Artificial cells, nanomedicine, and biotechnology",44 (3),2016,212
https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CHvd3SUAAAAJ&citation_for_view=CHvd3SUAAAAJ:r0BpntZqJG4C,In vitro anti-inflammatory activity of spherical silver nanoparticles and monodisperse hexagonal gold nanoparticles by fruit extract of Prunus serrulata: a green …,"P Singh, S Ahn, JP Kang, S Veronika, Y Huo, H Singh, M Chokkaligam, ...","Artificial cells, nanomedicine, and biotechnology",46 (8),2018,207
https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CHvd3SUAAAAJ&citation_for_view=CHvd3SUAAAAJ:9yKSN-GCB0IC,A strategic approach for rapid synthesis of gold and silver nanoparticles by Panax ginseng leaves,"P Singh, YJ Kim, DC Yang","Artificial cells, nanomedicine, and biotechnology",44 (8),2016,203
https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CHvd3SUAAAAJ&citation_for_view=CHvd3SUAAAAJ:dfsIfKJdRG4C,Cardamom fruits as a green resource for facile synthesis of gold and silver nanoparticles and their biological applications,"V Soshnikova, YJ Kim, P Singh, Y Huo, J Markus, S Ahn, ...","Artificial cells, nanomedicine, and biotechnology",46 (1),2018,177
https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CHvd3SUAAAAJ&citation_for_view=CHvd3SUAAAAJ:hC7cP41nSMkC,Anticancer activity of silver nanoparticles from Panax ginseng fresh leaves in human cancer cells,"V Castro-Aceituno, S Ahn, SY Simu, P Singh, R Mathiyalagan, HA Lee, ...",Biomedicine & Pharmacotherapy,,2016,169
https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CHvd3SUAAAAJ&citation_for_view=CHvd3SUAAAAJ:kNdYIx-mwKoC,Rapid green synthesis of silver and gold nanoparticles using Dendropanax morbifera leaf extract and their anticancer activities,"C Wang, R Mathiyalagan, YJ Kim, V Castro-Aceituno, P Singh, S Ahn, ...",International Journal of Nanomedicine,,2016,165
https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CHvd3SUAAAAJ&citation_for_view=CHvd3SUAAAAJ:g5m5HwL7SMYC,Anti-biofilm effects of gold and silver nanoparticles synthesized by the Rhodiola rosea rhizome extracts,"P Singh, S Pandit, M Beshay, V Mokkapati, J Garnaes, ME Olsson, ...","Artificial cells, nanomedicine, and biotechnology",,2018,153
https://scholar.google.com/citations?view_op=view_citation&hl=en&user=CHvd3SUAAAAJ&citation_for_view=CHvd3SUAAAAJ:YsMSGLbcyi4C,Pseudomonas deceptionensis DC5-mediated synthesis of extracellular silver nanoparticles,"JH Jo, P Singh, YJ Kim, C Wang, R Mathiyalagan, CG Jin, DC Yang","Artificial cells, nanomedicine, and biotechnology",44 (6),2016,150
